GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00235340	4	11	4	6	10	5	1
WBGene00200790	1	1	4	2	2	1	1
WBGene00201607	1	1	2	2	2	1	1
WBGene00016670	8	3	6	10	2	8	6
WBGene00016669	3	10	4	2	5	6	7
WBGene00016668	6	2	2	2	2	8	7
WBGene00001705	9	95	4	10	12	23	21
WBGene00195361	1	1	2	2	2	1	1
WBGene00197919	1	1	2	2	2	2	1
WBGene00044468	20	10	56	50	74	18	26
WBGene00235299	3	3	20	15	14	17	21
WBGene00022090	158	631	290	269	406	2102	2193
WBGene00022092	6	2	8	2	5	5	7
WBGene00197723	1	1	2	2	2	1	1
WBGene00022089	9	1316	14	12	17	953	1034
WBGene00022087	13	273	14	10	17	830	834
WBGene00022093	19	5	38	33	62	9	6
WBGene00198527	1	1	4	2	2	1	1
