GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00044650	5	2	1	3	3	1	2	1
WBGene00235277	8	2	5	4	9	1	1	1
WBGene00020208	10	6	5	5	15	4	3	2
WBGene00202285	13	2	9	9	6	1	3	2
WBGene00019785	3	3	1	1	2	1	1	2
WBGene00019784	3	1	1	1	2	1	1	1
WBGene00019783	10	2	3	1	2	1	1	1
WBGene00019786	8	1	3	1	5	1	1	2
WBGene00201529	5	2	5	5	5	2	2	1
WBGene00196218	3	2	13	9	11	5	4	2
WBGene00195460	3	1	1	1	2	1	1	1
WBGene00198288	8	4	12	3	9	1	7	1
WBGene00200246	3	1	1	1	3	1	1	1
WBGene00199490	3	1	3	1	3	1	2	1
WBGene00202308	3	1	1	1	2	1	1	1
WBGene00200102	3	1	1	1	2	1	1	2
