GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00000553	152	46	48	34	40	17	14	12
WBGene00019462	111	48	35	28	42	17	13	12
WBGene00197160	5	1	4	3	5	1	1	1
WBGene00198204	3	1	1	1	2	1	1	1
WBGene00001173	11030	3048	2885	2386	2765	1107	731	905
WBGene00201394	5	4	1	3	2	1	1	1
WBGene00001186	1092	275	360	270	343	154	79	105
WBGene00198086	5	1	1	1	2	1	1	1
WBGene00195510	3	1	1	1	2	1	1	1
WBGene00196527	3	2	1	1	2	1	1	1
WBGene00001253	129	45	47	26	42	18	17	13
WBGene00018681	3448	1150	1032	874	1137	459	317	355
WBGene00018680	222	105	33	29	45	28	17	21
WBGene00018679	1547	372	271	252	198	100	66	65
WBGene00138717	796	201	127	110	122	60	33	44
WBGene00018678	774	217	176	175	216	85	50	62
WBGene00006738	260	181	38	15	25	29	7	13
WBGene00021655	908	278	266	225	300	128	80	91
WBGene00044466	129	39	16	11	19	12	3	4
WBGene00022298	78	7	18	13	12	7	2	3
WBGene00022297	647	233	91	76	97	51	44	29
WBGene00022302	99	27	3	10	5	4	3	6
WBGene00022300	2520	798	659	602	631	301	187	199
WBGene00220211	420	161	68	85	91	43	22	22
WBGene00022296	6014	1825	1706	1319	1552	572	412	466
WBGene00022301	3989	1128	1269	1118	1261	436	275	338
WBGene00022303	5	2	3	4	2	1	1	1
WBGene00022295	13	9	1	4	5	1	1	3
WBGene00201141	3	1	1	1	2	1	1	1
WBGene00044467	76	21	27	24	17	14	7	10
WBGene00019874	3	1	3	1	2	1	1	1
WBGene00019873	51	15	23	28	45	9	4	8
WBGene00255572	5	1	5	4	2	1	1	2
WBGene00202224	3	1	1	1	2	1	1	1
WBGene00019875	2821	577	531	535	522	194	123	160
WBGene00044649	8	3	3	3	2	1	2	1
WBGene00023241	3	1	1	3	2	1	1	1
WBGene00023240	3	1	3	1	2	1	1	1
WBGene00023242	3	1	1	1	3	1	1	2
WBGene00022940	3	1	1	1	2	1	1	1
WBGene00219423	35	10	8	5	19	2	3	2
WBGene00000487	10	2	3	4	8	1	2	3
WBGene00016027	238	100	56	36	57	16	15	22
WBGene00016025	3	2	1	3	2	1	1	1
WBGene00200043	3	1	1	1	2	1	1	1
WBGene00016024	58	11	7	8	9	4	3	4
WBGene00001729	8	2	1	1	5	2	1	2
WBGene00199050	3	1	1	1	2	1	1	1
WBGene00016023	38	14	9	10	8	3	3	2
WBGene00077523	10	1	4	1	3	1	1	1
WBGene00016918	1145	382	158	126	178	85	69	78
WBGene00235274	10	4	1	1	8	1	3	1
WBGene00016920	73	10	3	5	6	3	1	7
WBGene00001557	23	5	5	6	8	1	1	4
WBGene00219665	5	1	1	1	3	1	1	1
WBGene00016919	56	19	22	25	26	8	5	4
WBGene00195956	3	1	1	1	2	1	1	1
WBGene00201637	3	1	3	1	2	1	1	1
WBGene00016917	5	1	3	1	2	1	1	1
WBGene00198825	3	1	1	1	2	1	1	1
WBGene00202203	3	1	3	1	2	1	1	1
WBGene00201391	3	1	1	1	2	1	1	1
WBGene00022134	6325	1605	1886	1610	1728	673	445	536
WBGene00220196	3	3	9	4	5	3	2	2
WBGene00044650	1585	588	625	482	584	271	204	259
WBGene00235277	3	6	4	3	2	1	1	1
WBGene00020208	3542	1077	1737	1408	1723	586	401	428
WBGene00202285	3	1	1	1	2	1	1	1
