GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00200559	1	1	2	2	5	2	1
WBGene00198574	1	1	2	2	2	1	1
WBGene00202043	1	1	2	2	2	1	1
WBGene00200541	5	7	2	2	2	1	1
WBGene00022682	6095	3929	30899	26421	35576	136234	133123
WBGene00022681	10	4	8	10	12	7	5
WBGene00017901	25	18	22	8	12	4	4
WBGene00198688	1	5	2	2	2	3	1
WBGene00017900	60	45	22	41	48	41	14
WBGene00235292	4	3	2	2	2	3	2
WBGene00044302	1	5	2	2	2	1	1
WBGene00017596	1	2	2	2	5	2	1
WBGene00017595	1	1	2	2	2	1	1
WBGene00017593	1	1	2	2	2	2	1
WBGene00017592	8	7	4	4	2	4	1
WBGene00017594	5	1	2	2	2	3	4
WBGene00017591	6	4	6	6	12	7	6
WBGene00169973	1	2	2	2	5	1	1
WBGene00020084	1	2	4	4	5	4	3
WBGene00235119	5	2	2	2	5	4	4
WBGene00235120	5	2	4	2	2	3	4
WBGene00017923	10	132	10	27	21	34	37
WBGene00017922	4	7	2	2	2	15	12
WBGene00006706	10	27	16	8	5	25	32
WBGene00017921	18	7	12	19	5	4	6
WBGene00004205	8	7	8	2	14	20	15
WBGene00017920	29	8	26	23	17	35	40
WBGene00017919	3	3	6	2	2	4	4
WBGene00195370	1	2	2	2	2	1	1
WBGene00044482	9	18	4	10	5	21	5
WBGene00198742	1	2	2	2	2	2	2
WBGene00020678	19	9	8	19	31	15	11
WBGene00044620	3	3	4	8	2	4	5
WBGene00020675	9	7	22	29	26	14	8
WBGene00019541	6	2	4	8	5	6	1
