GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00023462	10	1	7	5	11	2	3	1
WBGene00199025	3	1	1	1	2	1	1	1
WBGene00006769	101	20	27	29	31	4	1	8
WBGene00019778	20	12	8	4	14	1	1	4
WBGene00019777	30	6	23	33	34	2	3	3
WBGene00015037	28	6	7	9	6	1	2	2
WBGene00201697	3	1	1	1	2	1	1	1
WBGene00200460	844	4	23	40	32	1	1	1
WBGene00015036	13	1	4	4	2	1	1	1
WBGene00015035	20	2	7	15	6	1	1	1
WBGene00021375	35	9	12	13	8	5	3	2
WBGene00021374	43	10	14	9	9	4	3	3
WBGene00202239	3	1	4	3	2	1	1	1
WBGene00196540	3	1	1	1	2	1	1	1
WBGene00023366	10	2	25	16	28	5	7	8
WBGene00002188	18	1	1	3	2	2	1	1
WBGene00022609	33	2	5	4	2	2	1	1
WBGene00022608	58	2	3	11	6	2	1	1
WBGene00170259	3	1	1	1	2	1	1	1
WBGene00021360	13	2	10	6	14	1	2	1
WBGene00198923	10	2	4	8	3	1	1	1
WBGene00021359	73	10	27	19	29	3	7	6
WBGene00021358	8	1	7	1	3	1	1	1
WBGene00021357	15	1	3	5	2	4	1	1
WBGene00021365	58	24	52	68	83	14	19	13
WBGene00165899	3	1	3	1	2	1	1	1
WBGene00021369	25	7	3	3	9	1	5	1
WBGene00021368	15	6	3	1	6	1	1	1
WBGene00019546	38	4	9	13	9	1	1	2
WBGene00019545	28	4	8	9	8	4	1	1
WBGene00019724	25	9	5	10	9	2	4	7
WBGene00019723	66	24	26	21	37	12	5	6
WBGene00017907	116	20	42	21	22	3	4	3
WBGene00200865	3	2	1	1	2	1	1	1
WBGene00196594	3	1	1	1	2	1	1	1
WBGene00195822	3	1	1	3	3	1	1	1
WBGene00017906	25	2	4	5	3	1	1	1
WBGene00200814	3	1	1	1	2	1	1	1
WBGene00169432	3	1	1	1	2	1	1	1
WBGene00196379	3	1	1	1	2	1	1	1
WBGene00006970	46	7	7	11	3	2	2	3
WBGene00200340	8	2	4	1	2	1	1	1
WBGene00018144	15	8	3	3	2	1	1	3
WBGene00018143	13	1	3	6	6	1	1	1
WBGene00018142	15	2	1	6	2	1	1	1
WBGene00018141	20	1	14	21	5	1	1	1
WBGene00044471	3	1	3	3	2	1	1	1
WBGene00044472	5	1	3	1	2	1	1	1
WBGene00219307	18	2	4	1	5	1	1	1
WBGene00219304	5	1	4	3	2	1	1	1
WBGene00023478	18	1	5	6	3	1	2	1
WBGene00006488	3	1	1	3	2	1	1	1
WBGene00235358	20	2	3	5	6	1	1	1
WBGene00044474	5	1	3	1	2	1	1	1
WBGene00044475	3	1	1	1	2	1	1	1
WBGene00235297	5	1	3	1	2	1	1	1
WBGene00235293	5	1	4	1	5	1	1	1
WBGene00018973	10	1	3	1	2	1	1	1
WBGene00044476	8	1	1	3	2	1	1	1
WBGene00235361	3	1	1	4	2	1	1	1
WBGene00018972	15	1	1	1	3	1	1	1
WBGene00018971	8	2	1	3	5	1	1	1
WBGene00018970	15	2	4	4	3	1	2	1
WBGene00044642	20	3	1	3	2	1	1	1
WBGene00021581	30	4	3	3	2	1	1	1
WBGene00021582	5	3	3	4	5	1	1	1
WBGene00195003	3	1	1	3	2	1	1	1
WBGene00021583	28	1	16	34	15	1	1	1
WBGene00235362	10	2	1	1	2	1	1	1
WBGene00021585	25	2	3	5	9	1	1	1
WBGene00021586	40	2	7	6	8	1	2	2
WBGene00021587	8	2	3	1	2	1	1	1
WBGene00044343	8	2	3	5	8	3	1	1
WBGene00018548	30	2	7	5	3	1	1	2
WBGene00005432	5	1	1	1	2	1	1	1
WBGene00005433	3	1	3	3	2	1	1	1
WBGene00018547	230	42	50	51	56	8	10	10
WBGene00220113	8	1	9	10	8	2	2	3
WBGene00018066	3	1	4	1	2	1	1	1
WBGene00018065	10	1	3	3	2	1	1	1
WBGene00018064	63	5	8	13	3	2	1	4
WBGene00219554	3	1	1	1	3	1	1	1
WBGene00006173	53	1	7	1	14	1	1	1
WBGene00020979	5	1	1	1	2	1	1	1
WBGene00004157	25	10	3	8	9	2	2	3
WBGene00016434	18	5	8	3	5	1	1	1
WBGene00016433	8	2	1	3	2	1	1	1
WBGene00016432	81	12	133	134	142	26	28	31
WBGene00006701	8	2	5	6	3	1	5	3
WBGene00016436	8	1	1	3	2	1	1	1
WBGene00018644	3	3	1	3	2	1	1	1
WBGene00235363	3	2	1	3	2	1	1	1
WBGene00018643	190	2	3	6	6	1	1	1
WBGene00019933	5	2	12	16	11	1	1	1
WBGene00019932	10	4	4	1	5	1	1	1
WBGene00019934	10	1	4	11	11	1	1	2
WBGene00019931	5	1	1	1	3	1	1	1
WBGene00019533	3	1	1	1	3	1	1	1
WBGene00219216	8	1	5	11	8	1	2	1
WBGene00019532	20	2	4	11	11	2	1	1
WBGene00019531	18	2	8	10	2	1	1	1
WBGene00019530	23	2	3	8	3	1	1	1
WBGene00235369	20	4	1	1	2	1	1	1
WBGene00019529	13	4	3	5	3	1	1	1
WBGene00004385	10	2	4	9	6	1	1	1
WBGene00004386	13	2	3	5	2	1	1	1
WBGene00001033	28	2	9	14	6	2	1	1
WBGene00019535	10	1	5	4	8	1	1	1
WBGene00235370	20	3	17	20	6	2	1	3
WBGene00019439	1332	355	299	263	311	110	77	111
WBGene00019438	5	1	3	3	2	1	1	1
WBGene00017934	86	7	17	30	32	5	3	7
WBGene00001074	25	7	1	4	3	1	1	1
WBGene00235183	3	1	1	1	2	1	1	1
WBGene00023279	5	1	1	3	2	1	1	1
WBGene00018085	10	1	3	1	2	1	1	1
