GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00021366	801	195	171	123	139	60	42	54
WBGene00021370	336	126	97	70	85	38	33	36
WBGene00021371	121	45	50	76	46	13	15	6
WBGene00021372	351	110	48	70	42	23	15	19
WBGene00021373	25	6	7	8	5	1	1	1
WBGene00006869	518	79	125	100	116	33	17	24
WBGene00003884	430	82	171	237	136	28	23	29
WBGene00019725	854	312	314	243	284	115	104	111
WBGene00219715	68	24	27	21	37	13	6	6
WBGene00044690	63	20	13	18	20	6	7	7
WBGene00019726	3425	783	1047	831	988	339	246	317
WBGene00000287	99	19	34	18	14	3	3	3
WBGene00200095	3	1	1	1	2	1	1	1
WBGene00165382	3	1	1	1	2	1	1	1
WBGene00196154	8	1	3	1	2	1	1	1
WBGene00202376	3	1	1	1	2	1	1	1
WBGene00196185	15	2	1	3	2	1	1	1
WBGene00000009	58	24	16	10	12	3	2	7
WBGene00018145	2788	547	402	377	408	173	103	125
WBGene00018146	526	102	138	115	139	43	31	42
WBGene00018148	28	1	10	8	19	4	1	1
WBGene00044292	3	1	1	3	3	1	1	1
WBGene00044473	5	1	1	1	5	1	1	1
WBGene00235359	18	2	3	3	3	1	1	2
WBGene00235285	5	2	1	3	3	1	1	1
WBGene00168377	3	1	1	1	2	1	1	1
WBGene00021579	195	17	17	35	37	6	4	6
WBGene00005430	5	2	3	1	3	1	1	1
WBGene00018549	5	1	1	1	2	1	1	1
WBGene00044691	5	2	5	3	2	1	1	1
WBGene00235115	5	1	1	1	2	1	1	1
WBGene00018550	3	1	1	3	2	1	1	1
WBGene00219377	13	1	4	6	3	1	1	1
WBGene00018551	30	1	3	3	5	1	1	1
WBGene00020929	58	16	13	14	17	6	5	6
WBGene00020930	4118	889	1435	1238	1393	428	348	488
WBGene00003955	4212	1138	2181	1815	2297	713	444	545
WBGene00006951	99	31	23	25	29	11	6	6
WBGene00020981	402	148	128	105	136	56	33	60
WBGene00219741	20	7	4	6	2	1	1	3
WBGene00020982	25	1	5	1	3	1	1	1
WBGene00020983	10	3	3	4	2	1	1	3
WBGene00016437	25	7	10	5	9	1	1	2
WBGene00195006	8	3	3	4	3	1	1	1
WBGene00016435	1433	170	104	69	116	26	18	20
WBGene00023249	5	1	1	1	2	1	1	1
WBGene00201546	3	1	1	1	2	1	1	1
WBGene00044477	13	2	5	10	5	1	1	1
WBGene00235365	5	4	3	1	2	1	1	1
WBGene00235364	3	1	4	1	2	1	1	1
WBGene00235366	3	1	3	1	2	1	1	1
WBGene00018645	48	31	12	18	6	10	9	7
WBGene00018647	46	9	9	16	12	6	6	6
WBGene00018648	94	24	18	28	22	11	9	7
WBGene00235367	8	1	1	1	2	1	3	1
WBGene00018649	8	3	1	3	2	1	1	1
WBGene00018650	8	3	1	6	2	1	1	1
WBGene00235368	51	4	1	5	2	1	1	1
WBGene00018651	3	1	3	4	2	1	1	1
WBGene00018652	33	4	3	9	17	1	2	1
WBGene00195048	3	1	3	1	2	1	1	1
WBGene00019534	5	2	3	5	5	1	1	1
WBGene00019441	1256	330	278	248	280	102	72	101
WBGene00044478	66	13	9	19	19	4	3	6
WBGene00003938	23	2	3	3	5	1	1	2
WBGene00235371	3	1	1	1	2	1	1	1
WBGene00044093	5	1	3	3	2	1	1	1
WBGene00044092	23	5	4	6	3	1	1	1
WBGene00017935	5	2	3	1	2	1	1	1
WBGene00017936	172	35	31	24	17	10	14	4
WBGene00219684	5	1	1	1	2	1	1	1
WBGene00170053	3	1	1	1	2	1	1	1
WBGene00219689	5	2	7	5	3	1	1	3
WBGene00174173	3	1	1	1	2	1	1	1
WBGene00219688	20	2	3	3	6	4	1	1
WBGene00000611	179	18	46	34	43	20	7	11
WBGene00018086	3	3	4	3	3	1	1	1
WBGene00219497	3	1	1	1	2	1	1	1
WBGene00165376	3	1	1	1	2	1	1	1
WBGene00003668	121	46	42	28	36	10	7	10
WBGene00017487	786	248	206	158	176	90	80	52
WBGene00171091	3	1	1	1	2	1	1	1
WBGene00005715	20	4	5	1	5	1	1	2
WBGene00017488	18	1	3	1	3	1	1	1
WBGene00017489	137	24	35	31	31	9	7	13
WBGene00166460	3	1	1	1	2	1	1	1
WBGene00165247	3	1	1	1	2	1	1	1
